sa2_code,sa2_gini
101021007,0.520
101021008,0.376
101021009,0.366
101021010,0.406
101021011,0.427
101021012,0.408
101031013,0.464
101031014,0.433
101031015,0.501
101031016,0.459
101041017,0.450
101041018,0.490
101041019,0.457
101041020,0.486
101041021,0.476
101041022,na
101041023,0.460
101041024,0.481
101041025,0.483
101041026,0.470
101041027,0.501
101051539,0.417
101051540,0.491
101061541,0.424
101061542,0.476
101061543,0.455
101061544,0.493
102011028,0.518
102011029,0.498
102011030,0.525
102011031,0.511
102011032,0.452
102011033,0.401
102011034,0.452
102011035,0.407
102011036,0.444
102011037,0.451
102011038,0.453
102011039,0.508
102011040,0.453
102011041,0.500
102011042,0.444
102011043,0.419
102021044,0.423
102021045,0.384
102021046,0.439
102021047,0.422
102021048,0.415
102021049,0.554
102021050,0.423
102021051,0.449
102021052,0.440
102021053,0.413
102021054,0.445
102021055,0.430
102021056,0.420
102021057,0.416
103011058,0.434
103011059,0.421
103011060,0.490
103011061,0.451
103021062,0.521
103021063,0.451
103021064,0.520
103021065,0.467
103021066,0.510
103021067,0.446
103021068,0.507
103021069,0.496
103031070,0.462
103031071,0.479
103031072,0.484
103031073,0.534
103031074,0.529
103031075,na
103041076,0.471
103041077,0.447
103041078,0.427
103041079,0.501
104011080,0.447
104011081,0.482
104011082,0.501
104021083,0.506
104021084,0.470
104021085,0.460
104021086,0.476
104021087,0.531
104021088,0.493
104021089,0.447
104021090,0.463
104021091,0.465
105011092,0.456
105011093,0.450
105011094,0.614
105011095,0.480
105011096,na
105021097,0.424
105021098,0.515
105031099,0.514
105031100,0.417
105031101,0.411
105031102,0.440
105031103,0.478
105031104,0.492
105031105,0.478
105031106,0.508
106011107,0.468
106011108,0.452
106011109,0.482
106011110,0.488
106011111,0.421
106011112,0.470
106011113,0.542
106021114,0.417
106021115,0.441
106021116,0.479
106021117,0.437
106021118,0.410
106031119,0.485
106031120,0.451
106031121,0.513
106031122,0.407
106031123,0.483
106031124,0.568
106031125,0.434
106041126,0.449
106041127,0.501
106041128,0.487
106041129,0.506
107011131,0.433
107011132,0.413
107011133,na
107011134,0.455
107011545,0.419
107011546,0.433
107011547,0.447
107021135,na
107031136,0.400
107031137,0.403
107031138,0.514
107031139,0.461
107031140,0.501
107031141,0.438
107031142,0.439
107031143,0.425
107041144,0.478
107041145,0.437
107041146,0.469
107041147,0.434
107041148,0.513
107041150,0.456
107041548,0.480
107041549,0.470
108011151,0.487
108011152,0.499
108011153,0.507
108011154,0.504
108021155,0.432
108021156,0.503
108021157,0.468
108021158,0.475
108021159,0.503
108021160,0.496
108031161,0.445
108041162,0.492
108041163,0.481
108041164,0.474
108041165,0.520
108041166,0.466
108051167,0.540
108051168,0.491
108051169,0.458
108051170,0.512
108051171,0.417
109011172,0.424
109011173,0.422
109011174,0.487
109011175,0.479
109011176,0.405
109021177,0.455
109021178,0.494
109021179,0.509
109031180,0.458
109031181,0.478
109031182,0.446
109031183,0.546
109031184,0.462
109031185,0.488
110011186,0.469
110011187,0.506
110011188,0.470
110011189,0.539
110021190,0.501
110021191,0.439
110021192,0.547
110021193,0.539
110021194,0.529
110031195,0.457
110031196,0.646
110031197,0.437
110031198,0.550
110041199,0.468
110041200,0.540
110041201,0.514
110041202,0.424
110041203,0.451
110041204,0.377
110041205,0.479
111011206,0.468
111011207,0.464
111011208,0.455
111011209,0.434
111011210,0.431
111011211,0.496
111011212,0.475
111011213,0.498
111011214,0.472
111021215,0.442
111021216,0.457
111021217,0.392
111021218,0.468
111021219,0.502
111021220,0.478
111021221,0.409
111031222,0.446
111031223,0.437
111031224,0.483
111031225,0.455
111031226,0.409
111031227,0.406
111031228,0.527
111031229,0.524
111031230,na
111031231,0.445
111031232,0.454
111031233,0.439
111031234,0.421
111031235,0.420
112011236,0.467
112011237,0.496
112011238,0.563
112011239,0.488
112011240,0.554
112011241,0.465
112011242,0.492
112011243,0.532
112021244,0.414
112021245,0.473
112021246,0.428
112021247,0.510
112021248,0.431
112021249,0.500
112031250,0.496
112031251,0.440
112031252,0.501
112031253,0.463
112031254,0.460
112031550,0.443
112031551,0.469
112031552,0.427
113011256,0.429
113011257,0.472
113011258,0.421
113011259,0.460
113021260,0.470
113021261,0.426
113021262,0.447
113031263,0.474
113031264,0.483
113031265,0.448
113031266,0.480
113031267,0.456
113031268,0.421
113031269,0.401
113031270,0.461
113031271,0.454
114011272,0.512
114011273,0.471
114011274,0.463
114011275,na
114011276,0.491
114011277,0.456
114011278,0.425
114011279,0.444
114011280,0.477
114011281,0.460
114011282,0.483
114011283,0.495
114021284,0.577
114021285,0.415
114021286,0.539
114021287,0.471
114021288,0.605
114021289,0.543
115011290,0.453
115011291,0.496
115011294,0.616
115011296,0.559
115011553,0.475
115011554,0.529
115011555,0.518
115011556,0.504
115011557,0.483
115011558,0.506
115011559,0.459
115021297,0.604
115021298,0.550
115031299,0.480
115031300,0.447
115041301,0.438
115041302,0.445
116011303,0.386
116011304,0.382
116011306,0.372
116011307,0.403
116011308,0.401
116011560,0.387
116011561,0.384
116021309,0.417
116021310,0.401
116021312,0.402
116021562,0.382
116021563,0.385
116031313,0.372
116031314,0.356
116031315,0.355
116031316,0.361
116031317,0.377
116031318,na
116031319,0.366
117011320,na
117011321,0.404
117011322,0.420
117011323,0.443
117011324,na
117011325,na
117021326,0.427
117021327,0.456
117021328,0.406
117031329,0.544
117031330,0.403
117031331,0.506
117031332,0.456
117031333,0.556
117031334,0.563
117031335,0.553
117031336,0.499
117031337,0.684
117031338,0.435
118011339,0.593
118011340,0.554
118011341,0.549
118011343,0.668
118011344,0.577
118011345,0.592
118011346,0.696
118011347,0.641
118021348,0.530
118021350,0.476
118021564,0.531
118021565,0.515
118021566,0.552
118021567,0.477
118021568,0.487
118021569,0.508
118021570,0.497
119011354,0.438
119011355,0.448
119011356,0.433
119011357,0.438
119011358,0.433
119011359,0.430
119011360,0.416
119011361,0.421
119011571,0.429
119011572,0.420
119021362,0.417
119021363,0.425
119021364,0.458
119021366,0.423
119021367,0.432
119021573,0.416
119021574,0.421
119031368,0.464
119031369,0.459
119031370,0.455
119031371,0.509
119031372,0.478
119031373,0.425
119031374,0.518
119041375,0.434
119041376,0.432
119041377,0.475
119041378,0.420
119041379,0.453
119041380,0.454
119041381,0.420
119041382,0.472
120011383,0.519
120011384,0.470
120011385,0.517
120011386,0.486
120021387,0.572
120021388,0.481
120021389,0.500
120031390,0.459
120031391,0.512
120031392,0.443
120031393,0.449
120031394,0.435
120031395,0.531
120031396,0.437
120031575,0.545
120031576,0.454
121011398,0.547
121011399,0.496
121011400,0.578
121011401,0.480
121011402,0.620
121021403,0.455
121021404,0.454
121021406,0.484
121021577,0.429
121021578,0.478
121021579,0.469
121031407,0.628
121031408,0.617
121031409,0.597
121031410,0.582
121031411,0.582
121031412,0.608
121041413,0.568
121041414,0.487
121041415,0.664
121041416,0.540
121041417,0.552
122011418,0.609
122011419,0.568
122021420,0.618
122021421,0.592
122021422,0.563
122021423,0.505
122031424,0.481
122031425,0.490
122031426,0.483
122031427,0.545
122031428,0.528
122031429,0.507
122031430,0.503
122031431,0.510
122031432,0.606
123011433,0.444
123011434,0.417
123011435,0.369
123021436,0.374
123021437,0.398
123021438,0.365
123021440,0.418
123021441,0.385
123021442,0.382
123021443,0.373
123021444,0.393
123031445,0.412
123031446,0.427
123031447,0.419
123031448,0.457
124011449,0.477
124011450,0.457
124011451,na
124011452,0.484
124011453,0.432
124011454,0.437
124011455,0.504
124021456,na
124031457,0.372
124031458,0.385
124031459,0.423
124031460,0.395
124031461,0.386
124031462,0.382
124031463,0.448
124031464,0.413
124031465,0.399
124041466,0.416
124041467,0.399
124041468,0.426
124051469,0.376
124051470,0.358
124051580,0.362
124051581,0.364
125011473,0.435
125011475,na
125011582,0.444
125011583,0.415
125011584,0.454
125011585,0.440
125011586,0.461
125011587,0.435
125021476,0.494
125021477,0.432
125021478,0.470
125031479,0.423
125031480,0.401
125031481,0.423
125031482,0.412
125031483,0.430
125031484,0.408
125031485,0.420
125031486,na
125031487,na
125041489,0.422
125041490,0.478
125041491,0.410
125041492,0.416
125041493,0.431
125041494,0.445
125041588,0.417
125041589,0.422
126011495,0.520
126011496,0.526
126021497,0.518
126021498,0.521
126021499,0.657
126021500,0.459
126021501,0.487
126021503,0.444
126021590,0.561
126021591,0.468
127011504,0.385
127011505,0.443
127011506,0.404
127011592,na
127011593,0.424
127011594,0.382
127011595,0.381
127011596,0.371
127011597,0.383
127021509,0.395
127021510,0.411
127021511,0.424
127021512,0.404
127021513,0.414
127021514,0.402
127021515,0.402
127021516,0.413
127021517,0.414
127021518,0.474
127021519,0.395
127021520,0.416
127021521,0.450
127031522,0.416
127031523,0.417
127031524,0.395
127031598,0.399
127031599,0.382
127031600,0.382
127031601,0.392
128011529,0.471
128011530,0.480
128011531,0.546
128011602,0.420
128011603,0.533
128011604,0.486
128011605,0.583
128011606,0.549
128021533,0.431
128021534,0.476
128021535,0.444
128021536,0.486
128021537,na
128021538,0.416
128021607,0.417
128021608,0.442
128021609,0.442
201011001,0.430
201011002,0.539
201011003,0.447
201011004,0.409
201011005,0.463
201011006,0.399
201011007,0.406
201011008,0.415
201021009,0.448
201021010,0.486
201021011,0.504
201021012,0.460
201031013,0.519
201031014,0.570
201031015,0.430
201031016,0.437
201031017,0.507
202011018,0.467
202011019,0.399
202011020,0.477
202011021,0.438
202011022,0.412
202011023,0.419
202011024,0.442
202011025,0.407
202021026,0.455
202021027,0.461
202021028,0.496
202021029,0.483
202021030,0.475
202021031,0.483
202031032,0.477
202031033,0.573
203011034,0.436
203011035,0.458
203011036,0.494
203021037,0.435
203021038,0.405
203021039,0.473
203021040,0.441
203021041,0.430
203021042,0.495
203021043,0.424
203021044,0.420
203021045,0.411
203021046,0.521
203021047,0.438
203031048,0.455
203031049,0.538
203031050,0.479
203031051,0.514
203031052,0.554
203031053,0.492
204011054,0.526
204011055,0.514
204011056,0.424
204011057,0.503
204011058,0.478
204011059,0.416
204011060,0.467
204011061,na
204011062,0.502
204021063,0.449
204021064,0.527
204021065,0.444
204021066,0.439
204021067,0.478
204031068,0.467
204031069,0.482
204031070,0.415
204031071,0.448
204031072,0.470
204031073,0.397
204031074,0.407
204031075,0.442
205011076,0.437
205011077,0.495
205011078,0.481
205011079,0.471
205021080,na
205021081,0.447
205021082,0.479
205021084,0.483
205021085,0.503
205021086,0.507
205031087,0.546
205031088,na
205031089,0.488
205031090,0.479
205031091,0.470
205031092,na
205031093,0.478
205041094,0.471
205041095,0.459
205041096,0.458
205041097,0.451
205041098,0.459
205051099,na
205051100,0.522
205051101,0.487
205051102,0.521
205051103,0.487
205051104,0.526
206011105,0.441
206011106,0.433
